Title,Marca,start,end,"class(TV, SMART, OTRO)"
Smart Tv Noblex Di43x5100x Led Full Hd 43  220v,Noblex,9,15,1
Smart Tv Tcl L42s6500 Led Full Hd 42  220v,Tcl,9,12,1
Tv Samsung Smart Tv Hd 32 Para Repuestos,Samsung,3,10,0
Tv Led Samsung 46 Smart Pantalla Rota,Samsung,7,14,0
Tv 29 Sanyo Vizon,Sanyo,6,11,0
Televisor Philips Led Tv 32 Pulgadas Dolby,Philips,10,17,0
Televisor Samsung Hilton 14 Pulgadas,Samsung,10,17,0
"Televisión Samsung Led 32 ,modelo : Un32j4000agczb",Samsung,11,18,0
Esmart Tv 55 Pulgadas,,,,1
Tv Led Samsung 40  ,Samsung,7,14,0
Tv Smart Kanji Uhd 4k 60'',Kanji,9,14,1
Smart Tv Samsung Modelo Un32d5500rg Usado Con Garantia,Samsung,9,16,1
Smart Tv 42 Pulgadas Full Hd Hitachi Cdh-le42smart19,Hitachi,29,36,1
Tv Plasma LG 32 ' ,LG,10,12,0
Tv Led Top House 43,Top House,7,16,0
Smart Tv Samsung Series 7 Un55ru7100gczb Led 4k 55  220v,Samsung,9,16,1
Tv Lcd Samsung 40',Samsung,7,14,0
Televisor Goldstar 14 ,Goldstar,10,18,0
Tv Led LG 28 ,LG,7,9,0
Oferta Smart Tv Philips 43,Philips,16,23,1
Smart Tv Hitachi 32 Cdh-le32smart Hd Android Bluetooth,Hitachi,9,16,1
Televisor Lcd 21 Pulgadas Samsung Con Control Remoto ,Samsung,26,33,0
Lcd De 32 ,,,,2
Tv Philco 24,Philco,3,9,0
Smart Tv Philips 6600 Series 55pug6654/78 Led 4k 55 ,Philips,9,16,1
Tv Tubo Sony 20 Pulgada,Sony,8,12,0
Televisor Noblex 32 Pulgadas Hdmi Lcd,Noblex,10,16,0
Sony Bravia Xbr 65x855d,Sony,0,4,1
Tv Samsung Series 4 Un32eh4000gcfv Led Hd 32  100v/240v,Samsung,3,10,0
Smart Tv Samsung 43 Uhd 4k Un43au7000 Techcel Ahora 12,Samsung,9,16,1
Smart Tv Bgh B4321fh5a Led Full Hd 43,Bgh,9,12,1
Televisor Philips 42 Fhd Modelo 42pfl7007g/77 3d,Philips,10,17,0
Televisor Noblex 21  Color Pantalla Plana C/c.remot.funciona,Noblex,10,16,0
Monitor Led 24 Tv Hd Enova Cuotas,Enova,21,26,2
Smart Tv Jvc 55' Funcionando ,Jvc,9,12,1
Monitor Led 24 Tv Hd Enova Cuotas 24,Enova,21,26,2
Tv Sony Bravia Klv-26s300a Lcd Hd 26  Como Nuevo!!!!,Sony,3,7,0
Tv Plasma Sony 32,Sony,10,14,0
Tv Sony 29,Sony,3,7,0
Televisor Daewo 29 Pulgadas,Daewo,10,15,0
Smart Samsung 32 Un32j4300 Para Repuesto,Samsung,6,13,1
Televisor De 24 Pulgadas De Tubo.,,,,0
Televisor Led Ken Brown 39'' 3d  Usado Con Mínimas Detalles.,Ken Brown,14,23,0
Smart Tv Tcl L55p715 Led 4k 55  220v,Tcl,9,12,1
Tv Monitor Bionica (leer...),Bionica,11,18,2
Smart Tv 55  Full Hd Smart Tv K5500modelo: Un55k5500,,,,1
Televisor LG 32 Modelo 32cs560-sd,LG,10,12,0
Televisor Samsung 29 Pulgadas Slim Full Full Rebajado.,Samsung,10,17,0
Tv LG 42 Mod 42le5550,LG,3,5,0
Samsung 85  Qn900a Neo Qled 8k Smart Tv 2021,Samsung,0,7,1
Smart Tv LG Ai Thinq 65nano81sna Led 4k 65  100v/240v,LG,9,11,1
Televisor LG 50 Pulgadas ,LG,10,12,0
Tv Samsung Un40k6500ag Para Repuesto,Samsung,3,10,0
Tv. LG 86 ,LG,4,6,0
Tv Led Sanyo 39 Pulgadas ,Sanyo,7,12,0
Smart Tv Philips 6800 Series 43pfd6825/77 Led Full Hd 43  ,Philips,9,16,1
Smart Tv 43 Pulgada Marca Philip Full,Philip,26,32,1
Tv 40 Pulgadas Tcl Black Light Smart,Tcl,15,18,1
Tv Smart 32 Pulgadas,,,,1
Televisión 29  Pantalla  Plana Hitachi,Hitachi,31,38,0
Tv Smart 43 Pulgadas ,,,,1
Tv LG 32cs410 Lcd Hd 32  100v/240v,LG,3,5,0
"Smart Tv 32 Pulgadas Hdmi, Modelo: 32phg5102/77, Impecable",,,,1
Smart Tv LG Ai Thinq 43lm6350psb Led Full Hd 43  220v,LG,9,11,1
Smart Tv LG Ai Thinq 50um7360psa Led 4k 50  100v/240v,LG,9,11,1
"Oportunidad!!!televisor Philco,excelentes Condiciones!",Philco,24,30,0
Reparacion/firmware Philco Pld4016fi Reinicio/bloqueo Logo,Philco,20,26,2
Televisor Admiral 29 PuLG,Admiral,10,17,0
Tv Toshiba Con Control Remoto.,Toshiba,3,10,0
Tv 20 PuLG  Sony,Sony,12,16,0
Televisor Philips,Philips,10,17,0
Tv Sony Bravia 40 Kdl-40bx455 - Full Hd + Soporte Para Tv,Sony,3,7,0
Smart Tv 43 Pulgadas Enova 43ds1 Netflix Youtube Bkp,Enova,21,26,1
Smart Tv 55  4k Philips 55pud6654/77,Philips,16,23,1
Smart Tv LG Ai Thinq 43  4k 43um7360psa,LG,9,11,1
Televisor Crown Mustang 20 Funcionando C/c Remoto,Mustang,16,23,0
Tv Tubo 20'' Telefunken Con Control Remoto Genérico + Mesa,Telefunken,13,23,1
"Repuestos Tv Smart Samsung Un55k6500agctc Main, Fuente, Tcon",Samsung,19,26,2
Smart Tv Led LG 43 43un7310 Uhd 4k Hdmi Usb Netflix Ctas,LG,13,15,1
Televisor Sanyo 21 Stereo Sap Esc. Oferta,Sanyo,10,15,0
Smart Tv Samsung Series 8 Un75tu8000gczb Led 4k 75  220v - 240v,Samsung,9,16,1
Smart Tv Samsung Series 7 Qn65q70tagczb Qled 4k 65  ,Samsung,9,16,1
Smart Tv 32 Pulgadas Candy 32sv1200 Hd Otero Hogar,Candy,21,26,1
Smart Tv Hd 32 Pulgadas Philips 6800 32phd6825/77 Hdr Saphi,Philips,24,31,1
Smart Tv Philips 6700 Series 65pud6794/77 Led 4k 65 ,Philips,9,16,1
Oled Smart Tv Sony 65 Pulgadas 4k Google Tv Netflix Youtube,Sony,14,18,1
Tv Led Samsung 40 Pulgadas Full Hd,Samsung,7,14,0
Televisor Panasonic Tc-21fx32la,Panasonic,10,19,0
Tv Sony Kdl-40r485a,Sony,3,7,0
Smart Tv Led Samsung 32 Pulgadas Serie 5 C/wifi - Un32f5500 ,Samsung,13,20,1
Tv Samsung. Color 21 PuLG. Pantalla Plana. C/control Remoto ,Samsung,3,10,0
Smart Tv Hitachi Cdh-le40smart17 Led Full Hd 40  100v/240v,Hitachi,9,16,1
Smart Tv Enova 43  Led Full Hd Netflix Fn,Enova,9,14,1
Tv Led 32  Aoc,Aoc,11,14,0
Televisor Admiral  Tg-2900 A,Admiral,10,17,0
Smart Tv LG 49 4k Hdr+,LG,9,11,1
Lcd Philco 32 Pulgadas,Philco,4,10,0
Televisor Philips Full Hd  Lcd  42 Pulgadas ,Philips,10,17,0
Smart Tv Noblex Dk75x9500 Qled 4k 75  Black Series,Noblex,9,15,1
Televisor Admiral 29 ,Admiral,10,17,0
Televisor LG 21'',LG,10,12,0
Tv LG 42 Lm 3400 3d + 4 Lentes + 2 Lentes Dual Play!!,LG,3,5,0
